OTUID,A,B,stat,p.value,Group,Domain,Phylum,Phylum_mod,Class,Order,Family,Genus,Species,OTUID.1, cummulative_abund,P26.2010.06.10m,P26.2010.06.25m,P26.2010.06.50m,P26.2010.06.100m,P26.2010.08.10m,P26.2010.08.25m,P26.2010.08.50m,P26.2010.08.100m,P26.2011.02.10m,P26.2011.02.25m,P26.2011.02.50m,P26.2011.02.100m,P26.2011.06.10m,P26.2011.06.25m,P26.2011.06.50m,P26.2011.06.100m,P26.2011.08.10m,P26.2011.08.25m,P26.2011.08.50m,P26.2011.08.100m,P26.2012.02.10m,P26.2012.02.25m,P26.2012.02.50m,P26.2012.02.100m,P26.2012.06.10m,P26.2012.06.25m,P26.2012.06.50m,P26.2012.06.100m,P26.2012.08.10m,P26.2012.08.25m,P26.2012.08.50m,P26.2012.08.100m,P26.2013.02.10m,P26.2013.02.25m,P26.2013.02.50m,P26.2013.02.100m,P26.2013.06.10m,P26.2013.06.25m,P26.2013.06.50m,P26.2013.06.100m,P26.2013.08.10m,P26.2013.08.50m,P26.2014.02.10m,P26.2014.02.25m,P26.2014.02.50m,P26.2014.02.100m,P26.2014.06.10m,P26.2014.06.25m,P26.2014.06.50m,P26.2014.08.10m,P26.2014.08.25m,P26.2014.08.50m,P26.2014.08.100m,P26.2015.02.10m,P26.2015.02.25m,P26.2015.02.50m,P26.2015.02.100m,P26.2015.06.10m,P26.2015.06.25m,P26.2015.06.50m,P26.2015.06.100m,P26.2015.08.10m,P26.2015.08.25m,P26.2015.08.50m,P26.2015.08.100m,P26.2016.02.10m,P26.2016.02.25m,P26.2016.02.50m,P26.2016.02.100m
OTU_1256,0.6777,1,0.823,0.008,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,uncultured,uncultured marine bacterium,uncultured marine bacterium,uncultured marine bacterium,OTU_1256,0.006934448,1.19E-05,3.73E-05,7.23E-05,8.40E-06,3.54E-05,2.29E-05,7.22E-06,0,9.30E-06,5.26E-05,3.39E-05,5.42E-05,2.36E-05,2.60E-05,1.08E-05,1.50E-05,3.20E-05,6.20E-05,0,4.33E-05,0.00010711,0.000131509,0.000108428,0.000210615,2.05E-05,4.49E-05,2.24E-05,6.66E-05,6.52E-06,0,5.03E-06,1.90E-05,0.000149358,7.22E-06,6.19E-05,5.06E-05,4.90E-05,4.65E-05,3.93E-05,2.07E-05,0.00016961,0.000116193,0.000272293,0.000217657,0.000256435,0.000258046,0.000137691,0.000239154,0.000163871,3.23E-05,4.48E-05,0.000101644,5.40E-05,7.11E-06,5.94E-05,6.84E-05,5.45E-06,4.85E-05,0.000218955,0.000242738,5.40E-05,2.33E-05,2.83E-05,0.000114532,6.40E-05,3.22E-05,7.73E-06,1.52E-05,5.95E-06
OTU_597,0.6969,0.963,0.819,0.012,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,,OTU_597,0.0076232,8.31E-05,8.40E-05,0.00010327,0.000705971,0,0,7.22E-06,9.43E-05,8.37E-05,8.77E-05,3.39E-05,0.00015356,0,8.68E-06,1.08E-05,7.51E-06,5.34E-05,7.24E-05,4.70E-05,5.20E-05,6.25E-05,4.11E-05,2.17E-05,0.00011085,5.12E-05,3.59E-05,0,4.10E-05,1.96E-05,1.89E-05,4.02E-05,3.32E-05,1.60E-05,0,3.61E-05,9.19E-06,2.94E-05,6.40E-05,5.90E-05,0.000103727,9.69E-06,2.58E-05,2.39E-05,2.23E-05,8.55E-05,0.000140753,2.62E-05,1.84E-05,4.27E-05,4.53E-05,7.46E-05,8.97E-05,0.000200396,5.69E-05,4.24E-05,5.32E-05,0.000136174,4.25E-05,6.16E-05,8.09E-05,0.000961975,1.55E-05,0,7.16E-06,1.37E-05,0.0001416,0.0001392,5.33E-05,0.000166582
OTU_363,0.6857,0.963,0.813,0.016,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,uncultured,,OTU_363,0.02582113,5.93E-05,3.73E-05,2.07E-05,0.003277724,0,3.06E-05,2.17E-05,0.00072634,0.000176662,0.00017536,0.000178128,0.000316153,4.73E-05,8.68E-06,4.32E-05,0.000270416,0,0,2.82E-05,0.000493819,0.000321331,0.000295894,0.000303599,0.00028821,0.000163918,0.000152743,6.71E-05,0.000312353,0,0,4.52E-05,0.000180497,0.000165361,0.000108308,0.000283559,0.000156309,9.80E-06,5.81E-06,9.17E-05,0.00032674,9.69E-06,4.52E-05,0.000167198,0.000251143,0.000164851,0.000357746,5.90E-05,3.68E-05,0.00023512,6.47E-06,7.46E-06,0.000155456,0.000747632,0.000199076,0.000152737,0.000167247,0.001345397,6.67E-05,5.47E-05,0.000283194,0.002253616,7.76E-06,0,4.29E-05,0.00036091,0.000199528,0.000386668,0.000297177,0.00056519
OTU_438,0.6263,1,0.791,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,uncultured Pelagibacterales bacterium,OTU_438,1.64125799,0.014230103,0.011340302,0.012103187,0.003790394,0.004843966,0.005636987,0.005544126,0.004508966,0.014886099,0.014546124,0.011959998,0.013495204,0.007717508,0.006503091,0.010013286,0.005475933,0.008668268,0.012593964,0.009653889,0.010136277,0.006908617,0.006032959,0.006484001,0.028100474,0.021975207,0.020512498,0.018218035,0.015633001,0.009377303,0.01044439,0.016784883,0.013613262,0.011297868,0.006447933,0.013564443,0.008100479,0.023569321,0.029594744,0.028982183,0.024526227,0.013689934,0.018823226,0.006945871,0.007316624,0.041664631,0.042448625,0.021040553,0.016237927,0.020562292,0.037866539,0.037702497,0.034810164,0.021596541,0.015584785,0.015850658,0.014413647,0.003638562,0.033531888,0.03423903,0.014038353,0.007290473,0.016079965,0.006267285,0.004581278,0.00515325,0.031126301,0.037901168,0.031249286,0.03300116
OTU_381,0.6151,1,0.784,0.012,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,,,OTU_381,0.006503539,1.19E-05,9.33E-06,5.16E-05,8.40E-05,1.77E-05,7.64E-06,9.38E-05,9.43E-05,9.30E-06,2.63E-05,5.94E-05,3.61E-05,3.15E-05,8.68E-06,1.08E-05,0.00014272,0,5.17E-05,2.82E-05,3.47E-05,1.79E-05,0.000131509,0.000108428,3.33E-05,2.05E-05,3.59E-05,4.48E-05,9.22E-05,1.96E-05,1.89E-05,0.000125673,0.000128248,0.00013869,2.89E-05,7.22E-05,5.98E-05,4.90E-05,1.74E-05,5.24E-05,9.85E-05,8.72E-05,3.87E-05,0.000105096,8.93E-05,0.000140429,7.62E-05,3.28E-05,3.07E-05,5.70E-05,9.70E-05,3.73E-05,0.000197309,0.000123321,0.000106648,0.000135766,9.12E-05,0.000103492,8.49E-05,2.74E-05,1.73E-05,5.40E-05,8.54E-05,7.55E-05,5.73E-05,0.000118781,0.000102982,4.64E-05,9.91E-05,6.54E-05
OTU_79,0.6091,1,0.78,0.007,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,,OTU_79,0.102003348,0.000308576,0.000401344,0.000454386,0.003420599,0.000389643,0.000305528,0.00033207,0.000660309,0.000706648,0.000534848,0.000534383,0.000939425,0.000378,0.000312565,0.00035646,0.000743645,0.000341607,0.000361896,0.000423004,0.000866348,0.000508774,0.000682201,0.00076984,0.00128586,0.001383055,0.001608295,0.002238088,0.001889478,0.000136943,0.000157295,0.00047253,0.001472474,0.001168193,0.000794258,0.001495131,0.001025203,0.000411777,0.000476772,0.001775757,0.002261247,0.000688131,0.000994094,0.000716562,0.000558095,0.001843892,0.001911889,0.001711307,0.001189637,0.001838209,0.000950706,0.000663803,0.001088191,0.002759301,0.00138642,0.001501909,0.001360782,0.001024026,0.000727899,0.000506333,0.000635743,0.003031842,0.001086484,0.000368109,0.000136007,0.000484259,0.001190729,0.001600804,0.001554463,0.002088229
OTU_885,0.9614,0.6296,0.778,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,Ambiguous_taxa,OTU_885,0.006408106,0,0,0,0,0,0,7.22E-06,1.89E-05,9.30E-06,2.63E-05,1.70E-05,3.61E-05,0,0,0,0,0,0,0,0,0,3.29E-05,1.08E-05,1.11E-05,0,0,0,1.54E-05,0,0,0,0,5.33E-06,4.33E-05,2.06E-05,0,0,0,0,0,0,0,0.000501593,0.000491124,0.000427392,0.000316693,0,0,3.56E-05,0,0,0.000215247,4.62E-05,0.000511909,0.000381841,0.000486537,0.000343158,0,0,0,1.08E-05,0,0,0,0.000123349,9.01E-05,6.96E-05,6.86E-05,4.76E-05
OTU_1126,0.6782,0.8889,0.776,0.003,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Ambiguous_taxa,Ambiguous_taxa,OTU_1126,0.008469228,1.19E-05,0,0,7.56E-05,0,0,1.44E-05,8.49E-05,5.58E-05,9.64E-05,0.000118752,0.000180659,0,0,1.08E-05,1.50E-05,1.07E-05,1.03E-05,0,3.47E-05,0.000267776,0.000172605,0.000184328,0.00015519,0,0,2.24E-05,5.63E-05,0,0,5.03E-06,0.000109248,0.000154692,0.000151631,0.000149513,0.000174698,0,0,1.97E-05,0.0001141,1.45E-05,1.94E-05,0.000377389,0.000390666,0.000232013,0.000234588,1.31E-05,2.45E-05,7.84E-05,6.47E-06,7.46E-06,5.98E-05,0.000161858,0.000184856,0.000186678,0.000205258,0.00019609,0,0,6.94E-05,0.000178344,0,3.78E-05,5.01E-05,0.000164465,0.000128727,6.96E-05,0.000152398,0.000142785
OTU_188,0.602,1,0.776,0.034,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,uncultured,,OTU_188,0.070484306,0.000439127,0.000550681,0.000567982,0.001764928,6.20E-05,3.82E-05,0.000216567,0.000367886,0.001403998,0.000736513,0.000704028,0.001111051,0.000189,0.0001476,0.000183631,0.000495763,0.00024553,0.000423935,0.000611006,0.001620072,0.000428441,0.00046028,0.000585512,0.00135237,0.000686405,0.000619957,0.000716188,0.000890974,0.000130421,7.55E-05,0.000583123,0.001111481,0.000346724,0.00012997,0.000396983,0.000353994,0.000333343,0.000540729,0.001225338,0.001939693,0.000135688,0.000322758,0.000300956,0.000273466,0.001520295,0.002093694,0.000295053,0.000263682,0.000569987,0.000575597,0.000686178,0.000831091,0.001880641,0.00046214,0.000398812,0.000342096,0.000544695,0.000570188,0.000458436,0.001034527,0.001594284,0.000186254,2.83E-05,0.000193273,0.000356342,0.00168633,0.002103472,0.001783061,0.002355951
OTU_265,0.7031,0.8519,0.774,0.01,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,,OTU_265,0.015005758,0,0,0,0.001016935,0,0,7.22E-06,0.000415051,0.000195258,0.000166592,0.000169645,0.000379383,0,0,0,0.000165254,0,0,2.82E-05,0.00017327,0.000187443,0.000123289,0.000108428,0.00017736,7.17E-05,1.80E-05,2.24E-05,0.000179219,0,0,2.51E-05,0.000213746,8.00E-05,9.39E-05,8.76E-05,0.000142517,0,0,7.86E-05,0.000305994,0,3.23E-05,6.69E-05,0.0001172,0.000134323,0.00018767,6.56E-06,6.13E-06,5.70E-05,0,7.46E-06,0.000101644,0.000793877,0.000170636,0.000118795,0.000159645,0.001067602,0,0,8.09E-05,0.001302449,0,1.89E-05,7.16E-06,0.000237561,0.000238146,0.000154667,0.000243837,0.000410507
OTU_364,0.5932,1,0.77,0.022,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,,OTU_364,0.01890178,4.75E-05,3.73E-05,9.29E-05,0.000495861,8.86E-06,3.06E-05,5.78E-05,0.000141495,0.000176662,9.64E-05,9.33E-05,0.000126461,7.88E-06,5.21E-05,0.000108018,9.77E-05,0,4.14E-05,4.70E-05,0.000216587,0.000142814,0.000156167,0.000249385,0.00033255,0.000235632,0.000287516,0.000469998,0.000455728,0,1.89E-05,0.000110592,0.000318244,0.000224037,0.000144411,0.000314493,0.000156309,0.000147063,9.88E-05,0.000399709,0.000430467,7.27E-05,0.000154924,8.60E-05,0.0001172,0.00040297,0.000422258,0.000249156,0.000220757,0.000256494,0.000109946,0.000126794,0.000286996,0.000593481,0.000234625,0.000212134,0.000190053,0.000168855,0.000188041,0.000102635,0.000127149,0.000443157,0.000147451,1.89E-05,1.43E-05,7.31E-05,0.000270328,0.000386668,0.000327656,0.000368861
OTU_801,0.7994,0.7407,0.77,0.009,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,,,,OTU_801,0.004816383,1.19E-05,0,0,0.000420221,0,0,0,7.55E-05,5.58E-05,2.63E-05,1.70E-05,2.71E-05,0,0,0,7.51E-06,0,0,0,4.33E-05,1.79E-05,3.29E-05,2.17E-05,4.43E-05,2.05E-05,1.80E-05,0,3.58E-05,0,0,1.01E-05,7.12E-05,2.67E-05,2.89E-05,1.55E-05,5.06E-05,9.80E-06,0,3.93E-05,9.34E-05,0,0,5.25E-05,3.91E-05,6.11E-05,0.000117294,0,0,2.14E-05,0,0,4.19E-05,0.000447038,4.98E-05,5.09E-05,4.56E-05,0.00025056,6.07E-06,6.84E-06,5.20E-05,0.000378305,0,0,0,4.11E-05,8.37E-05,0.000100534,8.38E-05,0.000172532
OTU_699,0.5891,1,0.768,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,,OTU_699,0.120931816,0.000534074,0.000616016,0.000888118,0.000546287,0.000726152,0.000488844,0.001104494,0.000867834,0.001543468,0.001104769,0.001068766,0.001517533,0.000952876,0.000790095,0.000972164,0.001524848,0.000448359,0.00076515,0.000864808,0.000901002,0.001499545,0.001717832,0.001452937,0.00130803,0.002059215,0.001904796,0.001835232,0.001848514,0.000215195,0.000195046,0.000829442,0.000698238,0.000794798,0.000555981,0.001092992,0.00070339,0.000509819,0.000755858,0.001284311,0.001535158,0.000978891,0.001181293,0.001992041,0.002048208,0.001868314,0.002216853,0.00170475,0.00122643,0.002215826,0.001183531,0.001320147,0.001393124,0.001140717,0.001187344,0.001272804,0.001170729,0.000909641,0.000752162,0.000608968,0.001716505,0.000718779,0.000923512,0.000991062,0.001352909,0.001991859,0.002014585,0.002358673,0.00190498,0.00207633
OTU_9,0.5878,1,0.767,0.001,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,,OTU_9,3.872785507,0.037230886,0.03337689,0.037280294,0.011001387,0.024414651,0.021768853,0.057729652,0.034336059,0.060288238,0.052178411,0.048238657,0.055787401,0.029058779,0.025977634,0.034814263,0.034771047,0.021371764,0.026904346,0.02936587,0.030720715,0.033659425,0.036904615,0.031444154,0.030705449,0.067134515,0.057089975,0.046798415,0.048291789,0.00924036,0.009859252,0.028779112,0.019754904,0.023966629,0.018217396,0.02816001,0.020467272,0.019059384,0.021431479,0.029696418,0.032788076,0.030713912,0.032753445,0.056097223,0.057606554,0.060585894,0.063696397,0.040271449,0.035155603,0.057575844,0.038616756,0.043452967,0.041578475,0.029026614,0.033323854,0.037293169,0.032704383,0.027180278,0.023771973,0.027376171,0.060343532,0.016088761,0.042287515,0.04531511,0.100279887,0.063903952,0.064518205,0.070156987,0.056128319,0.064354345
OTU_1230,0.6866,0.8519,0.765,0.024,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Ambiguous_taxa,Ambiguous_taxa,OTU_1230,0.010902896,0.000130551,8.40E-05,6.20E-05,0,0.000894407,0.000618694,0,0,1.86E-05,1.75E-05,3.39E-05,9.03E-06,7.88E-06,8.68E-06,2.16E-05,0,0.000138778,0.000155098,0,8.66E-06,0,1.64E-05,0,0,2.05E-05,7.19E-05,6.71E-05,0,0.000104337,7.55E-05,0,0,3.20E-05,7.22E-06,0,9.19E-06,8.82E-05,2.91E-05,0,0,0.000310144,3.87E-05,0.000133758,0.000111619,0.000189274,0.000123158,0.000544209,0.000551893,0.000320618,0.000452717,0.000328172,4.78E-05,0,0,5.09E-05,5.32E-05,1.09E-05,7.28E-05,6.84E-05,4.62E-05,0,0.000574284,0.000519127,1.43E-05,0,7.08E-05,4.64E-05,5.33E-05,5.95E-05
OTU_417,0.6741,0.8519,0.758,0.009,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,,OTU_417,0.016442128,0,0,2.07E-05,0.000226919,0,0,1.44E-05,9.43E-05,0.000204556,0.000166592,0.000118752,0.00015356,0,8.68E-06,0,0.000202812,0,0,1.88E-05,0.000337876,0.000294553,0.000312333,0.000238542,0.000254955,9.22E-05,0.000134773,0.000179047,0.00038404,0,0,1.51E-05,0.000284995,0.000122687,0.00013719,0.000185602,0.000183893,9.80E-06,5.81E-06,0.000131052,0.000373417,0,2.58E-05,0.000401275,0.000284628,0.000335808,0.000346017,3.93E-05,3.68E-05,0.000192371,0,0,0.000113602,0.000608896,0.000277284,0.000271532,0.000281279,0.00044665,1.82E-05,2.05E-05,0.000231179,0.000286431,0,0,5.73E-05,0.000470554,0.000334691,0.000440801,0.000434335,0.000481899
OTU_1076,0.702,0.7778,0.739,0.009,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,uncultured,,,,OTU_1076,0.023215014,0,0,0,0,0,0,2.17E-05,0.000141495,0.00018596,0.00030688,0.000220539,0.000352284,0,0,1.08E-05,0.00014272,0,0,0,0.000147279,0.000508774,0.000304114,0.000401184,0.00057642,0,1.80E-05,2.24E-05,0.000138255,0,0,5.03E-06,0.000147247,0.000512085,0.00082314,0.000448539,0.000588457,0,0,5.24E-05,0.000202267,0,0,0.001098728,0.00094318,0.000854784,0.000862109,1.97E-05,6.13E-06,4.27E-05,0,0,5.98E-05,7.71E-05,0.000789193,0.000551549,0.000646181,0.000413968,1.82E-05,0,5.20E-05,4.32E-05,0,0,0,0.000589334,0.000714437,0.000564535,0.000739132,0.000654431
OTU_1390,0.678,0.7778,0.726,0.01,Yes,D_0__Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,,OTU_1390,0.001591093,0,9.33E-06,0,0.000159684,0,0,0,2.83E-05,9.30E-06,8.77E-06,2.54E-05,9.03E-06,0,0,1.08E-05,1.50E-05,0,0,0,1.73E-05,2.68E-05,3.29E-05,5.42E-05,2.22E-05,0,8.98E-06,0,2.05E-05,0,0,0,1.42E-05,2.67E-05,7.22E-06,2.06E-05,1.38E-05,0,0,6.55E-06,5.19E-06,0,0,2.87E-05,1.12E-05,6.11E-06,2.93E-05,0,6.13E-06,2.14E-05,0,0,5.98E-06,3.85E-05,1.42E-05,4.24E-05,2.28E-05,7.08E-05,0,6.84E-06,5.78E-06,5.40E-05,0,0,7.16E-06,2.74E-05,3.22E-05,4.64E-05,3.81E-05,2.97E-05
OTU_804,0.7249,0.7073,0.716,0.013,No,D_0__Archaea,Thaumarchaeota,Thaumarchaeota,Nitrosopumilales,Nitrosopumilaceae,,,,OTU_804,0.000734551,1.19E-05,0,0,8.40E-06,8.86E-06,2.29E-05,1.44E-05,5.66E-05,1.86E-05,1.75E-05,1.70E-05,1.81E-05,7.88E-06,0,0,7.51E-06,2.14E-05,1.03E-05,0,2.60E-05,8.93E-06,1.64E-05,2.17E-05,0,2.05E-05,0,0,5.12E-06,6.52E-06,6.29E-06,5.03E-06,4.75E-06,0,1.44E-05,5.16E-06,9.19E-06,0,5.81E-06,0,5.19E-06,4.85E-06,0,0,5.58E-06,1.22E-05,1.17E-05,6.56E-06,6.13E-06,7.12E-06,6.47E-06,0,0,0,0,8.49E-06,0,0,0,1.37E-05,5.78E-06,5.40E-06,0,0,0,4.57E-06,0,0,0,5.95E-06
OTU_519,0.8008,1,0.895,0.001,No,D_0__Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,uncultured marine bacterium,OTU_519,0.137469686,0.002231242,0.001885384,0.0014561,0.000126066,8.86E-06,3.82E-05,0.001508753,0.000943298,0.001245932,0.001218753,0.001170553,0.000803931,0.001708877,0.00161492,0.002635644,0.002486329,0.000341607,0.000237817,0.006091256,0.001724033,0.00092829,0.000772613,0.000910796,0.001407795,0.002643172,0.002875164,0.002931895,0.001551523,0.000873824,0.000553679,0.010496207,0.001899967,0.003397895,0.004447846,0.00302635,0.003144567,0.002323598,0.001738473,0.00366946,0.001913761,9.69E-05,0.00043895,0.000152866,0.000145105,0.00015264,0.000123158,9.18E-05,0.000128775,0.000840731,6.47E-06,0,0.000526158,7.71E-05,0.000248845,0.000229105,0.000349698,8.72E-05,7.89E-05,0.000157374,0.002184643,0.00042154,5.43E-05,1.89E-05,0.003314269,0.000507102,0.000965456,0.000765602,0.000807711,0.000898355
OTU_505,0.787,1,0.887,0.001,No,D_0__Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,,OTU_505,0.048710749,0.000154288,0.00013067,0.00010327,3.36E-05,0.00051362,0.000779096,0.000786862,0.002641235,0.000195258,0.000280576,0.000347773,0.000252922,0.000196875,0.000390706,0.000669713,0.002463794,4.27E-05,5.17E-05,1.88E-05,0.000320549,0.00114251,0.001010973,0.001149338,0.00050991,0.001362565,0.001060217,0.001656185,0.001950925,8.48E-05,3.78E-05,0.001176299,0.001852468,0.000581429,0.001111962,0.000587741,0.000947048,9.80E-05,3.49E-05,0.000864944,0.000855747,4.85E-05,3.23E-05,0.000105096,0.000139524,6.11E-05,7.62E-05,2.62E-05,6.75E-05,7.84E-05,1.29E-05,0,4.78E-05,0.000246641,0.000191966,0.00012728,0.000174849,0.000266901,6.07E-06,2.05E-05,9.83E-05,1.08E-05,3.10E-05,0.000207651,0.00052971,0.001228922,0.00030251,0.000309334,0.000320037,0.000392658
OTU_314,0.7251,1,0.852,0.001,No,D_0__Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,,OTU_314,0.112081429,0.002539818,0.003294755,0.002426834,0.001874186,7.97E-05,0.000122211,0.000317632,0.002414844,0.00027894,0.000368256,0.000245986,0.000325186,0.001567127,0.002022991,0.002387202,0.001269455,0.00233787,0.0016337,0.003995037,0.001983938,0.00015174,0.000197263,0.000195171,0.000343635,0.000983506,0.001302809,0.001365234,0.001280134,0.001630268,0.005404657,0.003493709,0.002346459,0.002053673,0.000909787,0.001629177,0.001043592,0.001078463,0.001052387,0.001120496,0.000876492,0.000799589,0.001516961,0.000148089,6.70E-05,0.000140429,8.21E-05,0.000531095,0.001011804,0.000434615,9.05E-05,0.000164086,0.000412556,0.000200396,0.000383932,0.000432754,0.000494139,0.000315923,0.00180155,0.002278497,0.002855062,0.000270218,0.000178494,0.000160458,0.000193273,0.000132486,0.000502037,0.000580002,0.000624833,0.000588988
OTU_62,0.6977,1,0.835,0.011,No,D_0__Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,,OTU_62,0.18020879,3.56E-05,8.40E-05,1.03E-05,0.007463126,8.86E-06,5.35E-05,0.000685797,0.008338757,0.002863784,0.002849602,0.003096028,0.004182248,7.88E-06,4.34E-05,8.64E-05,0.003057208,7.47E-05,6.20E-05,3.76E-05,0.005302052,0.007113912,0.006180907,0.006050289,0.005886135,3.07E-05,3.59E-05,0.000111904,0.004081068,7.83E-05,0.000151003,0.000301615,0.007495369,0.002837803,0.004462287,0.002912927,0.00447779,8.82E-05,6.40E-05,0.001362942,0.005113737,0.001104887,0.000109738,0.000917199,0.000753428,0.000702144,0.001354743,5.25E-05,2.45E-05,0.000135372,0.000168152,0.000141711,0.000101644,0.004532036,0.000319943,0.000288502,0.00042572,0.003333533,3.64E-05,0.000109477,6.36E-05,0.004739618,0.000162973,0.000226528,0.000200431,0.003385247,0.000881783,0.000850669,0.000982969,0.001058988
OTU_63,0.7947,0.8537,0.824,0.03,No,D_0__Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Ambiguous_taxa,OTU_63,0.014890048,2.37E-05,9.33E-06,0.000206539,8.40E-05,1.77E-05,2.29E-05,0.000137159,0.000367886,0,1.75E-05,0,0,1.58E-05,0,7.56E-05,3.76E-05,9.61E-05,0.000496314,0.000244402,0.001100263,0,8.22E-06,0,8.87E-05,4.10E-05,0.000107819,8.95E-05,0.00047621,8.48E-05,0.002309091,0.000236265,0.001500974,0.000277379,0.000288821,5.16E-06,2.30E-05,9.80E-06,2.91E-05,1.31E-05,0.000207454,2.42E-05,1.94E-05,0,0,0,0,0,8.59E-05,4.27E-05,4.53E-05,0.000253588,1.79E-05,0.000192689,0.000291504,2.55E-05,0,5.45E-06,6.07E-06,6.84E-05,1.73E-05,0.000243196,7.76E-06,4.72E-05,7.16E-06,5.48E-05,1.29E-05,7.73E-06,3.05E-05,1.78E-05
OTU_1223,0.6721,1,0.82,0.002,No,D_0__Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,SAR86 clade,uncultured SAR86 cluster bacterium,uncultured SAR86 cluster bacterium,uncultured SAR86 cluster bacterium,OTU_1223,0.027836138,0.000391654,0.000354676,0.00023752,1.68E-05,3.54E-05,9.17E-05,0.000288757,0.000273557,0.000130172,8.77E-05,0.000169645,0.00015356,0.000307125,0.000355977,0.000572496,0.000676041,0.000128102,5.17E-05,0.000714407,0.000190597,0.000642662,0.000484938,0.000607197,0.0006651,0.000348325,0.000260562,0.000425237,0.000184339,6.52E-06,1.89E-05,0.001673964,0.000759987,0.000122687,0.000180513,0.000123735,0.000156309,0.000754924,0.000750044,0.000530761,0.000399349,2.91E-05,0.000187199,7.17E-05,0.000128362,0.000213696,0.000205264,2.62E-05,1.23E-05,4.27E-05,8.41E-05,6.71E-05,0.000125561,0.000100198,8.53E-05,0.000152737,0.000152043,8.72E-05,0.000133448,0.000342117,0.000364107,5.40E-05,5.43E-05,9.44E-05,0.000350754,0.000402027,0.000354001,0.000317068,0.000342896,0.000303418
OTU_342,0.6608,1,0.813,0.023,No,D_0__Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,Ambiguous_taxa,OTU_342,0.128030003,4.75E-05,8.40E-05,7.23E-05,0,0.005065354,0.005491862,0.000945678,0.000754639,0.000381218,0.00030688,0.000551347,0.000379383,0.00023625,0.000373342,0.000604902,0.000736134,0.002305845,0.003360458,0.003346431,2.60E-05,0.00066944,0.000673982,0.00061804,0.001252605,0.000891302,0.000970368,0.001096663,0.001705139,0.006638452,0.008424722,0.00272459,0.003130195,0.000576095,0.001075859,0.000598052,0.000901075,0.001127484,0.001075644,0.001854388,0.001514413,0.001250267,0.002181842,0.000234077,0.0003516,0.000335808,0.000293234,0.000786808,0.000613215,0.000976103,0.001765596,0.002170411,0.001279522,0.000539528,0.00044792,0.000509122,0.000524547,0.000157962,0.000679373,0.000766341,0.000861142,7.03E-05,0.00154436,0.00221809,0.001123845,0.000890854,0.000965456,0.000703735,0.000761992,0.000749621
